date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:51	73244/73244	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Apr%202025%2008:34:36%20GMT	https://www.wimcycle.com/	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/index.html	(from )
15:34:51	120/120	---MCZ	200	added ('OK')	text/plain	etag:W/%22615f9997-7b%22	https://www.wimcycle.com/robots.txt		(from )
15:34:52	2803/2803	---MCZ	200	added ('OK')	text/css	etag:W/%2263bf7b66-af3%22	https://www.wimcycle.com/wp-content/plugins/contact-form-7/includes/css/styles.css?x30018&ver=5.7.2	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/plugins/contact-form-7/includes/css/stylesde66.css	(from https://www.wimcycle.com/)
15:34:52	1901/1901	---MCZ	200	added ('OK')	text/css	etag:W/%226530a926-76d%22	https://www.wimcycle.com/wp-content/themes/wimcycle/style.css?x30018&ver=6.6.1	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/stylefab2.css	(from https://www.wimcycle.com/)
15:34:52	178438/178438	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22262c9eeeaf233f5f3cbce59275b11ab0%22	https://www.wimcycle.com/feed/	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/feed/index.html	(from https://www.wimcycle.com/)
15:34:52	88151/88151	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ee9d7aa-15857%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/js/jquery-3.4.0.min.js?x30018&ver=1.0	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/js/jquery-3.4.0.min3301.js	(from https://www.wimcycle.com/)
15:34:53	990/990	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22262c9eeeaf233f5f3cbce59275b11ab0%22	https://www.wimcycle.com/comments/feed/	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/comments/feed/index.html	(from https://www.wimcycle.com/)
15:34:53	8738/8738	---MCZ	200	added ('OK')	application/json	date:Mon,%2014%20Apr%202025%2008:34:53%20GMT	https://www.wimcycle.com/wp-json/wp/v2/pages/20	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-json/wp/v2/pages/20.json	(from https://www.wimcycle.com/)
15:34:53	239155/239155	---MCZ	200	added ('OK')	application/json	date:Mon,%2014%20Apr%202025%2008:34:54%20GMT	https://www.wimcycle.com/wp-json/	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-json/index.html	(from https://www.wimcycle.com/)
15:34:54	811/811	---MCZ	200	added ('OK')	text/xml	date:Mon,%2014%20Apr%202025%2008:34:54%20GMT	https://www.wimcycle.com/xmlrpc.php?rsd	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/xmlrpc0db0.php	(from https://www.wimcycle.com/)
15:34:54	2150/2150	---MCZ	200	added ('OK')	application/json	date:Mon,%2014%20Apr%202025%2008:34:54%20GMT	https://www.wimcycle.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.wimcycle.com%2F	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-json/oembed/1.0/embede580.json	(from https://www.wimcycle.com/)
15:34:54	2542/2542	---MCZ	200	added ('OK')	text/xml	date:Mon,%2014%20Apr%202025%2008:34:54%20GMT	https://www.wimcycle.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.wimcycle.com%2F&format=xml	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-json/oembed/1.0/embed75a4	(from https://www.wimcycle.com/)
15:34:54	2580/2580	---M--	200	added ('OK')	image/gif	etag:%2263e60076-a14%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/images/ajax-loader.gif	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/images/ajax-loader.gif	(from https://www.wimcycle.com/)
15:34:54	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263e60074-800%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slick.eot	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slick.eot	(from https://www.wimcycle.com/)
15:34:55	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263e60074-800%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slick.eot?	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slickd41d.eot	(from https://www.wimcycle.com/)
15:34:55	1380/1380	---M--	200	added ('OK')	font/woff	etag:%2263e60075-564%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slick.woff	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slick.woff	(from https://www.wimcycle.com/)
15:34:55	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%2263e60075-764%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slick.ttf	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slick.ttf	(from https://www.wimcycle.com/)
15:34:55	2152/2152	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263e60074-868%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slick.svg	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/slick.svg	(from https://www.wimcycle.com/)
15:34:56	244220/244220	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ee9d7aa-3b9fc%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/Montserrat/Montserrat-Bold.eot	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/Montserrat/Montserrat-Bold.eot	(from https://www.wimcycle.com/)
15:34:56	244220/244220	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ee9d7aa-3b9fc%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/Montserrat/Montserrat-Bold.eot?	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/Montserrat/Montserrat-Boldd41d.eot	(from https://www.wimcycle.com/)
15:34:56	132956/132956	---M--	200	added ('OK')	font/woff	etag:%225ee9d7aa-2075c%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/Montserrat/Montserrat-Bold.woff	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/Montserrat/Montserrat-Bold.woff	(from https://www.wimcycle.com/)
15:34:56	78320/78320	---M--	200	added ('OK')	font/woff2	etag:%225ee9d7aa-131f0%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/Montserrat/Montserrat-Bold.woff2	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/fonts/Montserrat/Montserrat-Bold.woff2	(from https://www.wimcycle.com/)
15:34:57	564/564	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ee9d7aa-234%22	https://www.wimcycle.com/wp-content/themes/wimcycle/assets/images/slider-var.svg	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/themes/wimcycle/assets/images/slider-var.svg	(from https://www.wimcycle.com/)
15:34:57	5194/5194	---M--	200	added ('OK')	image/png	etag:%225ef02379-144a%22	https://www.wimcycle.com/wp-content/uploads/2020/06/favicon-wimcycle.png?x30018	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/uploads/2020/06/favicon-wimcycle7ac3.png	(from https://www.wimcycle.com/)
15:34:57	6287/6287	---M--	200	added ('OK')	image/png	etag:%2263901690-188f%22	https://www.wimcycle.com/wp-content/uploads/2020/06/LOGO-WIMCYCLE-e1670387342889.png?x30018	C:/Users/Administrator/Documents/projek%20web/wmcweb/www.wimcycle.com/wp-content/uploads/2020/06/LOGO-WIMCYCLE-e16703873428897ac3.png	(from https://www.wimcycle.com/)
